alpha,model,n_m,W_synth,W_truth,W_L,W_U,W_width,covered,Elo_width,abs_bias
0.15,claude-opus-4-7-thinking,9533,0.5666995841570827,0.5697576838350992,0.5645936368198422,0.5688055314943231,0.004211894674480909,False,2.9797690805498913,0.0030580996780165126
0.2,claude-opus-4-7-thinking,9533,0.5666995841570827,0.5697576838350992,0.5648247518512383,0.5685744164629271,0.0037496646116887966,False,2.6527538245957683,0.0030580996780165126
0.5,claude-opus-4-7-thinking,9533,0.5666995841570827,0.5697576838350992,0.565712846512163,0.5676863218020023,0.001973475289839266,False,1.3961581356036563,0.0030580996780165126
0.8,claude-opus-4-7-thinking,9533,0.5666995841570827,0.5697576838350992,0.5663289526925974,0.5670702156215679,0.0007412629289704764,False,0.5244144754152925,0.0030580996780165126
0.95,claude-opus-4-7-thinking,9533,0.5666995841570827,0.5697576838350992,0.566607847939638,0.5667913203745273,0.00018347243488925358,False,0.1297995338388056,0.0030580996780165126
0.05,claude-sonnet-4-5-20250929,9236,0.5240186301893373,0.528042442615851,0.5209676579075321,0.5270696024711424,0.006101944563610351,False,4.249925636503522,0.004023812426513729
0.1,claude-sonnet-4-5-20250929,9236,0.5240186301893373,0.528042442615851,0.5214581735365414,0.5265790868421331,0.005120913305591612,False,3.566636784960868,0.004023812426513729
0.15,claude-sonnet-4-5-20250929,9236,0.5240186301893373,0.528042442615851,0.5217777876783203,0.5262594727003542,0.004481685022033943,False,3.1214177274682258,0.004023812426513729
0.2,claude-sonnet-4-5-20250929,9236,0.5240186301893373,0.528042442615851,0.5220237066422608,0.5260135537364137,0.003989847094152843,False,2.7788570349486377,0.004023812426513729
0.5,claude-sonnet-4-5-20250929,9236,0.5240186301893373,0.528042442615851,0.5229686876656776,0.5250685727129969,0.002099885047319283,False,1.4625266463367024,0.004023812426513729
0.8,claude-sonnet-4-5-20250929,9236,0.5240186301893373,0.528042442615851,0.5236242581521774,0.5244130022264971,0.0007887440743197249,False,0.549343286243214,0.004023812426513729
0.95,claude-sonnet-4-5-20250929,9236,0.5240186301893373,0.528042442615851,0.5239210178643685,0.524116242514306,0.00019522464993748656,False,0.1359697437038505,0.004023812426513729
0.05,claude-sonnet-4-5-20250929-thinking-32k,9065,0.5156938188907889,0.5146166574738004,0.5124969332237439,0.5188907045578339,0.006393771334090026,True,4.447289613941026,0.001077161416988548
0.1,claude-sonnet-4-5-20250929-thinking-32k,9065,0.5156938188907889,0.5146166574738004,0.5130109078649405,0.5183767299166373,0.005365822051696778,True,3.7322679841117603,0.001077161416988548
0.15,claude-sonnet-4-5-20250929-thinking-32k,9065,0.5156938188907889,0.5146166574738004,0.5133458076196618,0.5180418301619161,0.004696022542254319,True,3.266372766300759,0.001077161416988548
0.2,claude-sonnet-4-5-20250929-thinking-32k,9065,0.5156938188907889,0.5146166574738004,0.5136034877093054,0.5177841500722724,0.0041806623629669915,True,2.9079035797078636,0.001077161416988548
0.5,claude-sonnet-4-5-20250929-thinking-32k,9065,0.5156938188907889,0.5146166574738004,0.5145936626471135,0.5167939751344643,0.002200312487350864,True,1.5304439629218618,0.001077161416988548
0.8,claude-sonnet-4-5-20250929-thinking-32k,9065,0.5156938188907889,0.5146166574738004,0.5152805859287596,0.5161070518528182,0.0008264659240586614,False,0.5748538125464178,0.001077161416988548
0.95,claude-sonnet-4-5-20250929-thinking-32k,9065,0.5156938188907889,0.5146166574738004,0.5155915382360348,0.5157960995455431,0.00020456130950829987,False,0.14228393450912277,0.001077161416988548
0.05,claude-sonnet-4-6,9402,0.5343669378036852,0.5379706445437141,0.5312134941932904,0.5375203814140799,0.0063068872207894255,False,4.403336485145859,0.003603706740028967
0.1,claude-sonnet-4-6,9402,0.5343669378036852,0.5379706445437141,0.5317204845010435,0.5370133911063268,0.005292906605283365,False,3.6953816352518674,0.003603706740028967
0.15,claude-sonnet-4-6,9402,0.5343669378036852,0.5379706445437141,0.5320508333472769,0.5366830422600934,0.004632208912816571,False,3.234090966414271,0.003603706740028967
0.2,claude-sonnet-4-6,9402,0.5343669378036852,0.5379706445437141,0.5323050118562518,0.5364288637511185,0.004123851894866748,False,2.8791645952962384,0.003603706740028967
0.5,claude-sonnet-4-6,9402,0.5343669378036852,0.5379706445437141,0.5332817314377469,0.5354521441696234,0.0021704127318764588,False,1.51531854983926,0.003603706740028967
0.8,claude-sonnet-4-6,9402,0.5343669378036852,0.5379706445437141,0.5339593202097409,0.5347745553976294,0.0008152351878885078,False,0.5691725259221323,0.003603706740028967
0.95,claude-sonnet-4-6,9402,0.5343669378036852,0.5379706445437141,0.5342660470272254,0.534467828580145,0.00020178155291961097,False,0.14087774106487305,0.003603706740028967
0.05,model-46,4664,0.5749386759553967,0.5579974271012007,0.5708181496677044,0.579059202243089,0.008241052575384655,False,5.858208906317026,0.01694124885419601
0.1,model-46,4664,0.5749386759553967,0.5579974271012007,0.5714806212856575,0.578396730625136,0.0069161093394785045,False,4.916327130161708,0.01694124885419601
0.15,model-46,4664,0.5749386759553967,0.5579974271012007,0.5719122799018211,0.5779650720089723,0.00605279210715115,False,4.30261878913068,0.01694124885419601
0.2,model-46,4664,0.5749386759553967,0.5579974271012007,0.5722444086338985,0.577632943276895,0.00538853464299649,False,3.830421461852371,0.01694124885419601
0.5,model-46,4664,0.5749386759553967,0.5579974271012007,0.573520663803957,0.5763566881068364,0.0028360243028793253,False,2.0159624391100706,0.01694124885419601
0.8,model-46,4664,0.5749386759553967,0.5579974271012007,0.5744060521895439,0.5754712997212496,0.0010652475317056709,False,0.7572197058627739,0.01694124885419601
0.95,model-46,4664,0.5749386759553967,0.5579974271012007,0.5748068444886097,0.5750705074221837,0.0002636629335739382,False,0.18742187508425068,0.01694124885419601
0.05,model-32,8229,0.44917830705156325,0.4424595941183619,0.4456475874743039,0.4527090266288226,0.007061439154518734,False,4.9581003555970575,0.006718712933201365
0.1,model-32,8229,0.44917830705156325,0.4424595941183619,0.4462152337766396,0.45214138032648693,0.005926146549847355,False,4.160947457716521,0.006718712933201365
0.15,model-32,8229,0.44917830705156325,0.4424595941183619,0.44658510534652474,0.45177150875660177,0.005186403410077034,False,3.6415383343938528,0.006718712933201365
0.2,model-32,8229,0.44917830705156325,0.4424595941183619,0.4468696936089558,0.4514869204941707,0.004617226885214931,False,3.241895095943519,0.006718712933201365
0.5,model-32,8229,0.44917830705156325,0.4424595941183619,0.44796326729345415,0.45039334680967236,0.0024300795162182087,False,1.706223336057692,0.006718712933201365
0.8,model-32,8229,0.44917830705156325,0.4424595941183619,0.4487219223506508,0.4496346917524757,0.0009127694018249422,False,0.6408784863831696,0.006718712933201365
0.95,model-32,8229,0.44917830705156325,0.4424595941183619,0.44906534576744916,0.44929126833567734,0.00022592256822817625,False,0.15862590654645953,0.006718712933201365
0.05,deepseek-v4-ch3-text,6783,0.49921256503679107,0.4907120743034056,0.49572006576722255,0.5027050643063595,0.006984998539136977,False,4.8537650935624415,0.00850049073338549
0.1,deepseek-v4-ch3-text,6783,0.49921256503679107,0.4907120743034056,0.49628156725520517,0.5021435628183769,0.00586199556317174,False,4.073388483352345,0.00850049073338549
0.15,deepseek-v4-ch3-text,6783,0.49921256503679107,0.4907120743034056,0.4966474349372432,0.501777695136339,0.0051302601990957375,False,3.564910030219117,0.00850049073338549
0.2,deepseek-v4-ch3-text,6783,0.49921256503679107,0.4907120743034056,0.49692894251011016,0.5014961875634719,0.004567245053361757,False,3.1736768577680783,0.00850049073338549
0.5,deepseek-v4-ch3-text,6783,0.49921256503679107,0.4907120743034056,0.4980106781763832,0.5004144518971989,0.002403773720815683,False,1.6703204202104425,0.00850049073338549
0.8,deepseek-v4-ch3-text,6783,0.49921256503679107,0.4907120743034056,0.4987611207349425,0.49966400933863964,0.0009028886036971384,False,0.6273929879310418,0.00850049073338549
0.95,deepseek-v4-ch3-text,6783,0.49921256503679107,0.4907120743034056,0.4991008265671604,0.4993243035064217,0.0002234769392612801,False,0.15528807021908134,0.00850049073338549
0.05,deepseek-v4-ch3-thinking-text,6563,0.4869217901294766,0.4734115495962212,0.4833423503352759,0.49050122992367734,0.0071588795884014456,False,4.977990050129905,0.013510240533255391
0.1,deepseek-v4-ch3-thinking-text,6563,0.4869217901294766,0.4734115495962212,0.48391782955959545,0.4899257506993578,0.00600792113976234,False,4.1776397670982215,0.013510240533255391
0.15,deepseek-v4-ch3-thinking-text,6563,0.4869217901294766,0.4734115495962212,0.4842928049681546,0.48955077529079866,0.005257970322644079,False,3.6561471642635257,0.013510240533255391
0.2,deepseek-v4-ch3-thinking-text,6563,0.4869217901294766,0.4734115495962212,0.48458132024930833,0.4892622600096449,0.0046809397603365666,False,3.2549007984006084,0.013510240533255391
0.5,deepseek-v4-ch3-thinking-text,6563,0.4869217901294766,0.4734115495962212,0.4856899841005516,0.48815359615840165,0.002463612057850062,False,1.7130684809018906,0.013510240533255391
0.8,deepseek-v4-ch3-thinking-text,6563,0.4869217901294766,0.4734115495962212,0.4864591077996671,0.4873844724592861,0.0009253646596190102,False,0.6434496302393233,0.013510240533255391
0.95,deepseek-v4-ch3-thinking-text,6563,0.4869217901294766,0.4734115495962212,0.4868072700984421,0.48703631016051113,0.00022904006206903027,False,0.15926229956185092,0.013510240533255391
0.05,deepseek-v4-pro-ch1-text,6339,0.5170283302355224,0.5198769522006625,0.5134125155731354,0.5206441448979094,0.007231629324774058,True,5.030974052845258,0.00284862196514013
0.1,deepseek-v4-pro-ch1-text,6339,0.5170283302355224,0.5198769522006625,0.513993842913957,0.5200628175570878,0.006068974643130831,True,4.222104629335749,0.00284862196514013
0.15,deepseek-v4-pro-ch1-text,6339,0.5170283302355224,0.5198769522006625,0.5143726288855773,0.5196840315854675,0.0053114026998901664,False,3.695061262176529,0.00284862196514013
0.2,deepseek-v4-pro-ch1-text,6339,0.5170283302355224,0.5198769522006625,0.5146640761074607,0.5193925843635842,0.004728508256123476,False,3.289544097858502,0.00284862196514013
0.5,deepseek-v4-pro-ch1-text,6339,0.5170283302355224,0.5198769522006625,0.5157840063869079,0.5182726540841369,0.0024886476972290072,False,1.7313011907806326,0.00284862196514013
0.8,deepseek-v4-pro-ch1-text,6339,0.5170283302355224,0.5198769522006625,0.5165609460501918,0.5174957144208531,0.0009347683706613097,False,0.6502980348227347,0.00284862196514013
0.95,deepseek-v4-pro-ch1-text,6339,0.5170283302355224,0.5198769522006625,0.5169126464327043,0.5171440140383405,0.0002313676056362457,False,0.1609573693461064,0.00284862196514013
0.05,deepseek-v4-pro-ch1-thinking-text,6053,0.5143817673603397,0.5123079464728234,0.5107465328270614,0.518017001893618,0.007270469066556595,True,5.05631203632939,0.0020738208875162867
0.1,deepseek-v4-pro-ch1-thinking-text,6053,0.5143817673603397,0.5123079464728234,0.5113309823693669,0.5174325523513125,0.006101569981945554,True,4.2433686250656955,0.0020738208875162867
0.15,deepseek-v4-pro-ch1-thinking-text,6053,0.5143817673603397,0.5123079464728234,0.5117118027302884,0.517051731990391,0.005339929260102627,True,3.7136707855383255,0.0020738208875162867
0.2,deepseek-v4-pro-ch1-thinking-text,6053,0.5143817673603397,0.5123079464728234,0.5120048152612235,0.5167587194594558,0.004753904198232295,True,3.306111246659828,0.0020738208875162867
0.5,deepseek-v4-pro-ch1-thinking-text,6053,0.5143817673603397,0.5123079464728234,0.513130760478787,0.5156327742418924,0.0025020137631053263,False,1.7400204666076202,0.0020738208875162867
0.8,deepseek-v4-pro-ch1-thinking-text,6053,0.5143817673603397,0.5123079464728234,0.5139118729411106,0.5148516617795688,0.0009397888384581332,False,0.6535730915336821,0.0020738208875162867
0.95,deepseek-v4-pro-ch1-thinking-text,6053,0.5143817673603397,0.5123079464728234,0.5142654622412417,0.5144980724794377,0.00023261023819598492,False,0.16176798881787646,0.0020738208875162867
0.05,model-71,9531,0.5058771747116728,0.5180463749868849,0.5026398085590668,0.5091145408642789,0.006474732305212116,False,4.499789447078826,0.012169200275212066
0.1,model-71,9531,0.5058771747116728,0.5180463749868849,0.5031602913914247,0.5085940580319209,0.005433766640496218,False,3.7763267310500486,0.012169200275212066
0.15,model-71,9531,0.5058771747116728,0.5180463749868849,0.5034994318059933,0.5082549176173523,0.004755485811358984,False,3.3049315468098737,0.012169200275212066
0.2,model-71,9531,0.5058771747116728,0.5180463749868849,0.5037603747633885,0.5079939746599571,0.004233599896568574,False,2.942230618393298,0.012169200275212066
0.5,model-71,9531,0.5058771747116728,0.5180463749868849,0.5047630877668166,0.5069912616565291,0.002228173889712526,False,1.5485103136268306,0.012169200275212066
0.8,model-71,9531,0.5058771747116728,0.5180463749868849,0.505458709197499,0.5062956402258466,0.0008369310283475873,False,0.5816397417289971,0.012169200275212066
0.95,model-71,9531,0.5058771747116728,0.5180463749868849,0.5057735989306618,0.5059807504926839,0.00020715156202211205,False,0.14396354123038665,0.012169200275212066
0.05,model-06,4350,0.5093335312484191,0.502183908045977,0.5048286941503728,0.5138383683464653,0.009009674196092554,False,6.262914932248303,0.007149623202442057
0.1,model-06,4350,0.5093335312484191,0.502183908045977,0.5055529527796336,0.5131141097172045,0.007561156937570868,False,5.25596176824123,0.007149623202442057
0.15,model-06,4350,0.5093335312484191,0.502183908045977,0.5060248710764769,0.5126421914203613,0.006617320343884403,False,4.599855233829223,0.007149623202442057
0.2,model-06,4350,0.5093335312484191,0.502183908045977,0.5063879765948321,0.512279085902006,0.005891109307173847,False,4.09503641570693,0.007149623202442057
0.5,model-06,4350,0.5093335312484191,0.502183908045977,0.5077832647777583,0.5108837977190799,0.003100532941321621,False,2.155228881118024,0.007149623202442057
0.8,model-06,4350,0.5093335312484191,0.502183908045977,0.5087512310439811,0.509915831452857,0.0011646004088758932,False,0.8095297045037672,0.007149623202442057
0.95,model-06,4350,0.5093335312484191,0.502183908045977,0.5091894042023072,0.509477658294531,0.00028825409222377196,False,0.20036928470454876,0.007149623202442057
0.05,model-55,4916,0.5312908208706486,0.5201383238405207,0.5271116660530178,0.5354699756882794,0.008358309635261518,False,5.830922915182192,0.011152497030127884
0.1,model-55,4916,0.5312908208706486,0.5201383238405207,0.5277835635875588,0.5347980781537384,0.007014514566179519,False,4.893430405783301,0.011152497030127884
0.15,model-55,4916,0.5312908208706486,0.5201383238405207,0.5282213640187079,0.5343602777225893,0.006138913703881421,False,4.282581365889126,0.011152497030127884
0.2,model-55,4916,0.5312908208706486,0.5201383238405207,0.5285582184139536,0.5340234233273436,0.005465204913390087,False,3.8125837330267003,0.011152497030127884
0.5,model-55,4916,0.5312908208706486,0.5201383238405207,0.5298526326635138,0.5327290090777834,0.0028763764142696324,False,2.006575344074873,0.011152497030127884
0.8,model-55,4916,0.5312908208706486,0.5201383238405207,0.5307506187164487,0.5318310230248485,0.0010804043083998405,False,0.7536939183506894,0.011152497030127884
0.95,model-55,4916,0.5312908208706486,0.5201383238405207,0.5311571136519412,0.531424528089356,0.00026741443741484794,False,0.1865492006311082,0.011152497030127884
0.05,model-28,9105,0.49411866818348077,0.4916529379461834,0.49088578829051255,0.497351548076449,0.006465759785936442,True,4.493554458108896,0.0024657302372973477
0.1,model-28,9105,0.49411866818348077,0.4916529379461834,0.4914055498510053,0.4968317865159562,0.005426236664950901,True,3.7710942281714335,0.0024657302372973477
0.15,model-28,9105,0.49411866818348077,0.4916529379461834,0.49174422029341713,0.4964931160735444,0.004748895780127271,False,3.3003522332300803,0.0024657302372973477
0.2,model-28,9105,0.49411866818348077,0.4916529379461834,0.4920048016427018,0.49623253472425977,0.004227733081557994,False,2.9381538759969974,0.0024657302372973477
0.5,model-28,9105,0.49411866818348077,0.4916529379461834,0.4930061251119642,0.49523121125499736,0.0022250861430331836,False,1.5463647227419575,0.0024657302372973477
0.8,model-28,9105,0.49411866818348077,0.4916529379461834,0.49370078256816846,0.4945365537987931,0.0008357712306246157,False,0.5808338333827334,0.0024657302372973477
0.95,model-28,9105,0.49411866818348077,0.4916529379461834,0.49401523593515145,0.4942221004318101,0.00020686449665863194,False,0.1437640683259683,0.0024657302372973477
0.05,gemini-2.5-flash,5858,0.4762539921627654,0.46517582792762036,0.47244977888556733,0.4800582054399635,0.007608426554396197,False,5.298931138745899,0.011078164235145072
0.1,gemini-2.5-flash,5858,0.4762539921627654,0.46517582792762036,0.4730613957395385,0.4794465885859924,0.006385192846453891,False,4.446977533434262,0.011078164235145072
0.15,gemini-2.5-flash,5858,0.4762539921627654,0.46517582792762036,0.4734599179971763,0.47904806632835456,0.0055881483311782665,False,3.891862114563685,0.011078164235145072
0.2,gemini-2.5-flash,5858,0.4762539921627654,0.46517582792762036,0.4737665508018453,0.47874143352368553,0.0049748827218402125,False,3.464746130556446,0.011078164235145072
0.5,gemini-2.5-flash,5858,0.4762539921627654,0.46517582792762036,0.47494483399288606,0.4775631503326448,0.0026183163397587306,False,1.8235096565622477,0.011078164235145072
0.8,gemini-2.5-flash,5858,0.4762539921627654,0.46517582792762036,0.4757622553650023,0.4767457289605286,0.0009834735955263074,False,0.6849325313779063,0.011078164235145072
0.95,gemini-2.5-flash,5858,0.4762539921627654,0.46517582792762036,0.47613228076444203,0.4763757035610888,0.00024342279664679722,False,0.16952986031171138,0.011078164235145072
0.05,gemini-2.5-pro,5720,0.5221418282715282,0.5119755244755245,0.5183731743802185,0.525910482162838,0.007537307782619518,False,5.24784930073823,0.010166303796003695
0.1,gemini-2.5-pro,5720,0.5221418282715282,0.5119755244755245,0.5189790742256674,0.5253045823173891,0.006325508091721721,False,4.404109060495775,0.010166303796003695
0.15,gemini-2.5-pro,5720,0.5221418282715282,0.5119755244755245,0.5193738713486421,0.5249097851944143,0.0055359138457722334,False,3.85434515411497,0.010166303796003695
0.2,gemini-2.5-pro,5720,0.5221418282715282,0.5119755244755245,0.5196776379432875,0.524606018599769,0.00492838065648149,False,3.4313466536311203,0.010166303796003695
0.5,gemini-2.5-pro,5720,0.5221418282715282,0.5119755244755245,0.5208449072863595,0.523438749256697,0.002593841970337518,False,1.8059315975262193,0.010166303796003695
0.8,gemini-2.5-pro,5720,0.5221418282715282,0.5119755244755245,0.5216546879191463,0.5226289686239102,0.0009742807047639079,False,0.6783300243901171,0.010166303796003695
0.95,gemini-2.5-pro,5720,0.5221418282715282,0.5119755244755245,0.5220212545545767,0.5222624019884797,0.00024114743390302174,False,0.1678956535388075,0.010166303796003695
0.05,gemini-3-flash-thinking-minimal,9583,0.4962014327654054,0.5005739330063654,0.49316756277195684,0.49923530275885397,0.006067739986897136,False,4.216592717610891,0.004372500240960031
0.1,gemini-3-flash-thinking-minimal,9583,0.4962014327654054,0.5005739330063654,0.49365532880544194,0.49874753672536887,0.005092207919926928,False,3.5386633134230574,0.004372500240960031
0.15,gemini-3-flash-thinking-minimal,9583,0.4962014327654054,0.5005739330063654,0.4939731513435251,0.4984297141872857,0.004456562843760614,False,3.0969362937996845,0.004372500240960031
0.2,gemini-3-flash-thinking-minimal,9583,0.4962014327654054,0.5005739330063654,0.49421769180361663,0.4981851737271942,0.003967481923577543,False,2.757062407824581,0.004372500240960031
0.5,gemini-3-flash-thinking-minimal,9583,0.4962014327654054,0.5005739330063654,0.49515737571632207,0.49724548981448874,0.0020881140981666713,False,1.4510561479460558,0.004372500240960031
0.8,gemini-3-flash-thinking-minimal,9583,0.4962014327654054,0.5005739330063654,0.49580927138887315,0.49659359414193766,0.0007843227530645036,False,0.545034839164003,0.004372500240960031
